title;heading;content;tokens
Valentina Dress;Dresses;"‘Wild is her style; in life, love and all things free..’ If you're looking for the WOW factor this season, then look no further than the Valentina Dress. Loud, bold and full of spirit, this beautiful, silk dress is a guaranteed head turner. Semi sheer, with a cowl neckline and open back detail, this delicate number is not for the faint hearted, but if you dare… turn up the volume and set your style alight this season! Silk blend Cowl neckline Open back detail Adjustable straps Maxi length Semi sheer Dress it down with a vintage leather biker. Wash as per care label";150
Athena Dress;Dresses;"‘This isn’t the time for a dress that will blend into the background…’ Creating an illusion of instant ethereal beauty and encapsulating the romantic mood of the season, crafted from a stunning lightweight 100% Silk lavender devoré and resplendent of the colour; the ‘Athena’ dress is symbolic of grace and decadence. This dress celebrates and accentuates the female figure, flattering your waist and décolletage with the draped neckline. The open back detail and semi-sheer finish showcases slight glimpses of skin that enhances the sensuality and allure of this dress. Perfect for parties and occasions, embrace its inherent glamour and run wild with it: add sky-high heels, glittering jewels and opulent outerwear. Forget effortless – think effort-more. Please note this dress is lined. 100% Silk Devoré Cowl neckline Open back detail Adjustable straps Maxi length Wash as per care labelDo not tumble dry. Model wears size XS";150
Gisele Maxi Dress;Dresses;A statement, sexy, siren of a dress, Gisele is a 90s-inspired slip crafted from sheer, polka-dotted silk. Cut to an ultra-flattering, figure-skimming silhouette, she has our signature cowl neck and an open back. Play up her drama and add bold, statement jewellery then style over a simple white t-shirt or under a knotted shirt or an oversized blazer for extra impact. 100% Silk Adjustable straps Maxi length Open back detail;150
Magnolia Floral Dress;Dresses;"Cut to a slim fitting shape with exaggerated sleeves and a sweetheart neckline that is knotted across the front; the 'Magnolia' is feminine and floral with an edge of fierce.Pair the thigh slit with an over the knee boot to bring to life the everlasting power pairing of ditsy floral and leather - achieving that ever-cool 90s sexy grunge girl look. Side invisible zip Sweetheart neckline - Exaggerated sleeves - Thigh slit Semi-sheer 100% Viscose Model wears size XS";150
Sui Kimono Blouse;TOPS;A thoroughly modern spin on the classic suit, we have torn up the rule book and created this timeless, elegant co-ord that gives way to endless possibilities as separates.Crafted in a slinky white jacquard with free-flowing kimono slit sleeves, the 'Sui' Blouse can also be paired with your favourite vintage denim for the ultimate in off- beat cool girl dressing.To achieve the desired look fasten loose ties at the nape of the neck as shown in images. White jacquard print Tie front Kimono sleeves with slit 100% Viscose Model wears size XS;150
Isabella Dress;Dresses;Have your friends green with envy this season in the ‘Isabella Dress’. This playful, party piece with voluminous balloon sleeves and buttoned front will be sure to guarantee you a good time whatever the occasion. With its playful pattern, low cut front and nipped in waist - this slightly daring number is all together cool, sexy and fun! Voluminous sleeves Elasticated cuffs Button front detail Zip Fastening;150
Selena Dress;Dresses;"Flirt with frills this season in our extremely striking 'Selena' Dress. Our hero dress, crafted in the hottest hue of the season; black. She's a little provocative and a lot of fun, this forever stylish number will have you turning heads at every corner. Pair with simple jewellery and flats to ensure this standout piece is the hardest working dress in your wardrobe, making sure you bring the glamour all year round! Drape an oversized blazer over your shoulders to keep out the evening chill, perfect for those summer parties, you wont be able to resist wearing it again and again... 30% Silk 70% Viscose Floor Length Adjustable Straps Lining Frills";150
Primrose Dress;Dresses;Exuding an angelic, ethereal vibe - this heavenly dress, crafted in a soft off-white burnout, is effortlessly elegant. Dreaming up visions of a Sofia Coppola film, evoking girly-femininity with an underlying sensuality - the 'Primrose' will have you in a romantic state of mind all summer long. Burnout motif Cross back detail Cowl at front and back Lining Floor length;150
Cecelia Dress;Dresses;"Revel in red in our showstopping ‘Cecelia’ Dress. Flirting with femininity, dancing with passion and oozing sex appeal; this floor length dress with cascading frills is designed to hug and accentuate your curves. Crafted in a floaty chiffon in a bright scarlet hue; and hitting the sweet spot between elegant and sexy, this eye catcher of a dress will ensure you steal the show all day and night. Silk Blend Floor Length Adjustable Straps Concealed zip fastening Lining Frill detail 70% Viscose 30% Silk";150
Fabienne Dress;Dresses;Elevate your style in our eye-popping 'Fabienne' Dress. Both figure-flattering and fierce, this is the ultimate wardrobe trophy piece. Crafted in a lightweight 100% silk chiffon, this technicolour psychedelic dream of a dress perfectly captures the spirit of adventure and is extremely fun to wear. For high octane drama team with killer heels and a dramatic eye. Silk Blend Cowl neckline Open back detail Adjustable straps Maxi length Lined;150
Mariella Dress;Dresses;Flirting with both modern bohemia and old-school nostalgia, the unique silhouette of the 'Mariella' is sure to turn heads.Slightly eccentric with a dash of fairytale - this dress is pure pleasure. With a cinched elasticated waist and dramatic capelet style framing the shoulders, this polka dot printed dress builds the bridge between fantasy and wearability. Polka dot print Semi-sheer Floor length Elasticated waist Unique design 100% Viscose;150
Giorgia Dress;Dresses;Look no further for your party piece this season, the 'Giorgia' has it all.Detailed with a buttoned front and frilled panels, this unique silhouette with shoulder framing capelet pays homage to the 70s with a dose of disco spirit and Studio 54 magic. Crafted in a black semi-sheer with flecks of metallic lurex, this waist defining maxi dress will dazzle all night long. Complement the metallic fabric with statement jewels. Lurex Fabric Semi-sheer Floor length Elasticated waist Unique design 100% Viscose;150
Dhalia Dress;Dresses;Fall for the dreamy Dhalia’s shimmering emerald jacquard.A plunging neckline twisting into a sleek fitted waist, dramatic kimono sleeves – this seductive thigh-skimming mini dress is made for dancing, wherever, whenever. Slick back your hair, add towering heels and you’re back at Studio 54, just for the night. Mini Style Zip front Tie Waist Kimono style sleeves;150
Odessa Dress Green;Dresses;Turn heads in the effortless Odessa. Cut in deep emerald jacquard, the seductive spot satin drapes to caped sleeves, then scoops to a signature cowl, then cascades to the floor. highlighting your waist and accenting your curves. Pair with sunned skin and maximal jewels for every elegant event. Spot Jacquard fabricOpen cowl necklineMaxi lengthSide zip fastening;150
Allegra Dress;Dresses;Go wild for the Allegra. Our love affair with animal print continues with this daring zebra style. Bold, spirited and a lot of fun.In form-skimming jersey with a flattering waist tie, this style will take you seamlessly from statement day to sundown cocktails. Make the Allegra your versatile wardrobe favourite. Long SleevesTie front fasteningZebra PrintSoft jersey fabric This style is a relaxed fit, we recommend taking a size down for a more fitted look.;150
Casablanca Dress;Dresses;Exude fiery Latin flavour in this sultry style. The Casablanca delivers showstopping drama via a sleek silhouette, oversized print and ever-so-slightly sheer finish.The slim shoulder straps drape to an elegant cowl and deeply scooped back, while the timeless bias-cut will nip your waist and skim your curves.Add red lips and a sun-kissed glow and you’re ready to slink into any glamourous occasion. Cowl neckline Open back detail Adjustable straps Maxi length Slightly sheer;150
Catarina Dress;Dresses;Go for maximum impact in this floor-sweeping Latin-inspired slip dress. With an ultra-flattering, figure-skimming silhouette, Catarina has delicate straps, a scooped back and our signature cowl neckline.Style her with a sun-kissed glow, perfectly mussed hair and layers of chunky gold jewellery. Cowl neckline Open back detail Adjustable straps Maxi length Slightly sheer;150
Ferreira Dress;Dresses;Feel Rio’s beats as you slip into this alluring dress. Striking the perfect balance between effortless and elegant, it’s cut in semi-sheer viscose, with a sleek column silhouette and a plunging V-neck. Glamorous and evocative, these voluminous sleeves are ready to feel that summer swing, the sensual slit flashes a hint of skin. Layer gold jewels, and feel the heat in the Ferreira. Voluminous sleevesElasticated cuffsButton front detailZip FasteningFloral MotifSlightly sheer;150
Aphrodite Blouse;TOPS;Embrace your wild side in the Aphrodite. The gentle frills, delicate ties and sheer finish deliver femininity with a sensual edge. The deep jewelled amethyst tone adds a sophisticated note.Wear with jeans, tie over a floor-skimming style, or throw over a bikini and sun-warmed shoulders. Instant, effortless, elegance. Tie fasteningsSemi SheerFrill Detail;150
Zephyr Blouse;TOPS;Succumb to seduction with the Zephyr. In bold, monochrome zebra print, with delicate ties and subtle frills, this semi sheer blouse will be your new favourite style, for summer and beyond.Over a bikini, or with denim shorts, paired with jeans, or layered over a floor-skimming slip, this piece is made to make a statement. Tie fasteningsSemi SheerFrill Detail;150
Gigi Dress;Dresses;A fresh twist on a 90s classic, this sleek slip balances timeless with modern. Slim, adjustable straps cross sun-kissed skin, front and back cowls deliver signature seduction. Cut in shimmering emerald satin, the style skims your hips, falling to an elegant midi length. Add undone hair and minimal accessories to let the Gigi do the talking. Satin feelCross back detailCowl front & backAdjustable strapsMidi length;150
Isabella Red;Dresses;A new spin on a cult style, turn up the temperature in the new racy red Isabella – the feisty little sister of our forever style in emerald.You’ll spot the signature sleeves made for moving, the daring plunging neckline, the thigh skimming hem and delicate button fastening - with a fresh attitude that’s all new.Twist up your hair, add 70s heels and let the Isabella’s adventures begin… Voluminous sleevesElasticated cuffsButton front detailZip Fastening;150
Perla Dress;Dresses;"Show off your summer glow in this signature silhouette.There’s a touch of retro glamour about the black on white spots of the Perla. The plunging neckline and beautiful button-up front perfectly accentuate your waist; the voluminous sleeves add drama. Date night dressing, beachside cocktails, summer lunch with friends – the Perla is the effortless answer. Polka Dot printVoluminous sleevesElasticated cuffsButton front detailZip Fastening";150
Adriana Dress;Dresses;It's time for romance in the Adriana. 90s-inspired slips are a Rat & Boa signature - made for drinks, parties and beyond. The draped shoulder cuffs add a sultry note to this slinky, feminine cut. Dust off your favourite heels and sweep up your hair. Adjustable straps Cowl front and back Floor length Sleeve detail Abstract floral print Semi sheer Our Dresses are designed long to suit all heights and can be shortened as required 100% Viscose;150
Franca Mac;JACKET;The trench, remixed - sophisticated Franca is made for impact. Cut in modern emerald micro croc print to an oversized silhouette, epaulettes and storm flaps add classic edge. Belt her over everything (or nothing...), add over the knee boots and you're ready to stride into spring. Small croc print Waist tie fastening Gold detail button Slightly oversized fit Pockets 100% Acetate;150
Marlowe Trouser;TROUSERS;A suit for all seasons? Meet the Marlowe. In fresh white, the super wide leg trousers are cut in fluid cupro to fit at the waist, then skim your curves. Oversized, exaggerated styling makes for head-turning impact. Pair with the coordinating Marlowe blazer for Bianca Jagger chic, or style them alone, the choice is yours. Zip fastening Super Wide Leg 58% Cupro 42% Rayon;150
Marlowe Blazer;JACKET;A suit for all seasons? Meet the Marlowe. In fresh white, this fluid waist-tied jacket defines louche elegance - flared sleeves, draped lapels, cinched waist. She's sleek and sharp, with a playful note. Pair with the coordinating Marlowe wide-leg trousers, or size up and wear as a micro-mini dress, if you dare... Padded shoulders Wrap style waist fastening Flared cuff Fitted waist 58% Cupro 42% Rayon;150
Roberta Trouser;TROUSERS;Sophisticated and sultry? It has to be the Roberta. In classic navy, cut in fluid cupro to an exaggerated wide-leg silhouette, these elegant trousers bring a little 70s cool to your wardrobe. Style with the coordinating jacket for top-to-toe chic, or pair with your favourite silk shirt for instant elegance. Zip fastening Super Wide Leg 58% Cupro 42% Rayon;150
